"Species","L.Occ","R.Occ","Fire.Included","Type","deltaAIC","Weight","Rsquared","Intercept","Data.Type","Elevation.m","Fires","Data.Type.Elevation.m","Elevation.m.Fires","Data.Type.Fires","Elevation.m2","Data.Type.Elevation.m2","Elevation.m2.Fires","Data.Type.Elevation.m.Fires","Data.Type.Elevation.m2.Fires"
"ACCI",72,65,"No","Unavg",0,0.674005305765405,0.253099676048517,-2.54137273324701,NA,0.00750216777789217,NA,NA,NA,NA,-6.41525497716386e-06,NA,NA,NA,NA
"ACCI",72,65,"No","Unavg",1.45271375411312,0.325994694234595,0.253871528677692,-2.46512176248961,-0.156424195393086,0.00750705734888849,NA,NA,NA,NA,-6.41979863179569e-06,NA,NA,NA,NA
"ACCI",72,65,"No","Avg",NA,NA,NA,-2.51651532134986,-0.0509934577480618,0.00750376175209406,NA,NA,NA,NA,-6.41673618446627e-06,NA,NA,NA,NA
"ACGL",15,18,"No","Unavg",0,0.701466682706584,0.0668847395024059,-4.77053098382161,NA,0.00570505980862853,NA,NA,NA,NA,-3.52231703046078e-06,NA,NA,NA,NA
"ACGL",15,18,"No","Unavg",1.70858372345475,0.298533317293416,0.067964957566796,-4.87255531856175,0.194530202153471,0.0057068401523543,NA,NA,NA,NA,-3.52340737991055e-06,NA,NA,NA,NA
"ACGL",15,18,"No","Avg",NA,NA,NA,-4.80098864691624,0.0580737465626346,0.00570559130054691,NA,NA,NA,NA,-3.52264253609903e-06,NA,NA,NA,NA
"ACMI",10,31,"Yes","Unavg",0,0.347299682719622,0.194498345174228,-2.82041985447402,-2.15357680194727,-0.000737492138460247,1.55978920471241,0.00226689280267527,-0.00223370327687641,3.87250493681023,NA,NA,NA,NA,NA
"ACMI",10,31,"Yes","Unavg",0.344569037930682,0.29233591275295,0.224965034606954,-6.51333755717611,1.08608978421959,0.0070999241860602,-26515.4824701174,-0.00466790888052825,134.136764714806,26521.7965703243,-3.59734177252081e-06,3.22032839892831e-06,-0.169504719322302,-134.140941824103,0.16950556827037
"ACMI",10,31,"Yes","Unavg",1.00445845599404,0.210178846483261,0.197639671041272,-2.92008028534595,-1.96493542601035,-0.000634634330505595,6.03030181493888,0.0021003526961617,-0.0118654175485182,-0.756681410999799,NA,NA,NA,0.00975964360366209,NA
"ACMI",10,31,"Yes","Unavg",1.67663292596626,0.150185558044166,0.195518695716432,-3.30858227150396,-2.40046338104846,0.000348474743274552,1.69697647319608,0.00247507867344549,-0.00236550200011794,3.95039110735434,-5.01341265285472e-07,NA,NA,NA,NA
"ACMI",10,31,"Yes","Avg",NA,NA,NA,-3.99425378123348,-1.20393628532744,0.00173838119397184,-7749.3637524527,0.000235864526553586,39.2093686581798,7755.05278123654,-1.12692640825165e-06,9.41417641864955e-07,-0.0495523168390177,-39.2121633950548,0.049552565017026
"AMAL",42,59,"Yes","Unavg",0,0.283903822116208,0.127021137994593,-2.81612236759252,0.425734102278123,0.00435896704194498,NA,NA,NA,NA,-3.25575836100544e-06,NA,NA,NA,NA
"AMAL",42,59,"Yes","Unavg",0.628145830105609,0.207382022400667,0.129346984561236,-2.96929876568274,0.426946936116196,0.00458520079024808,0.421105362744636,NA,NA,NA,-3.35758813437244e-06,NA,NA,NA,NA
"AMAL",42,59,"Yes","Unavg",1.1486047164658,0.159865552970007,0.131855403965342,-3.21364683125152,0.427961369781174,0.00501011576385029,1.53095961624858,NA,-0.00155067874412472,NA,-3.49637237934389e-06,NA,NA,NA,NA
"AMAL",42,59,"Yes","Unavg",1.60427680678868,0.127293713740909,0.120910433941447,-2.58707618896901,NA,0.00434557550128234,NA,NA,NA,NA,-3.24462789895103e-06,NA,NA,NA,NA
"AMAL",42,59,"Yes","Unavg",1.77263629864694,0.117016783936827,0.134188225842932,-3.56056577364595,0.429337867065034,0.00584644153651658,3.55667022037087,NA,-0.00702132783803715,NA,-3.94507340977377e-06,NA,3.13966802028105e-06,NA,NA
"AMAL",42,59,"Yes","Unavg",1.99816776354271,0.104538104835384,0.12702424437497,-2.8305265710129,0.451883574024098,0.00437611440043831,NA,-3.23605854600359e-05,NA,NA,-3.25490304659501e-06,NA,NA,NA,NA
"AMAL",42,59,"Yes","Avg",NA,NA,NA,-2.9709008896459,0.375303727802351,0.00468412747965546,0.748267498107761,-3.38291427535563e-06,-0.00106951331748155,NA,-3.39449709776897e-06,NA,3.67393854362592e-07,NA,NA
"ARUV",42,32,"Yes","Unavg",0,0.386963690283412,0.0605110460584756,-2.61879298997391,-1.62347966175748,0.00219858407908876,2.454363627587,0.00133099381774036,-0.00154809231880366,NA,-1.49871322220643e-06,NA,NA,NA,NA
"ARUV",42,32,"Yes","Unavg",1.5891756572002,0.174817581088085,0.0613649327216538,-3.06269005743153,-0.699729425363664,0.00321464314478726,2.45065000093961,-0.000686528636798083,-0.00154733494570731,NA,-1.99286393629143e-06,9.36878371166572e-07,NA,NA,NA
"ARUV",42,32,"Yes","Unavg",1.87432820824807,0.151588067690802,0.0524583655302181,-2.24680502212747,-1.57292698259454,0.00172452260275913,1.05098009506662,0.00129373912024077,NA,NA,-1.41641614461001e-06,NA,NA,NA,NA
