"Plot","Species.Code","Num","Cover.Class","Elevation.m","Year","Data.Type","Fires"
"1001","FRXX",45,"1",617,1980,"Legacy","Unburned"
"1001","TRBO",118,"1",617,1980,"Legacy","Unburned"
"1001","MANE",76,"2",617,1980,"Legacy","Unburned"
"1001","GASH",49,"2",617,1980,"Legacy","Unburned"
"1001","MOSS",79,"4",617,1980,"Legacy","Unburned"
"1001","LIBO",64,"1",617,1980,"Legacy","Unburned"
"1001","POMU",91,"1",617,1980,"Legacy","Unburned"
"1001","VAXX",126,"1",617,1980,"Legacy","Unburned"
"1002","ARUV",15,"1",457,1980,"Legacy","Unburned"
"1002","ANMA",11,"1",457,1980,"Legacy","Unburned"
"1002","ACMI",3,"1",457,1980,"Legacy","Unburned"
"1002","FEXX",44,"1",457,1980,"Legacy","Unburned"
"1003","MOSS",79,"2",594,1980,"Legacy","Unburned"
"1003","GASH",49,"3",594,1980,"Legacy","Unburned"
"1003","ARUV",15,"1",594,1980,"Legacy","Unburned"
"1003","VAME",122,"1",594,1980,"Legacy","Unburned"
"1005","ACCI",1,"2",518,1980,"Legacy","Unburned"
"1005","HEMI",54,"1",518,1980,"Legacy","Unburned"
"1005","CHUM",26,"1",518,1980,"Legacy","Unburned"
"1005","MOSS",79,"3",518,1980,"Legacy","Unburned"
"1005","HODI",59,"1",518,1980,"Legacy","Unburned"
"1005","MANE",76,"1",518,1980,"Legacy","Unburned"
"1005","LIBO",64,"1",518,1980,"Legacy","Unburned"
"1006","MANE",76,"2",671,1980,"Legacy","Unburned"
"1006","CHUM",26,"1",671,1980,"Legacy","Unburned"
"1006","HODI",59,"1",671,1980,"Legacy","Unburned"
"1006","ACGL",2,"1",671,1980,"Legacy","Unburned"
"1006","ACCI",1,"1",671,1980,"Legacy","Unburned"
"1006","OSCH",82,"1",671,1980,"Legacy","Unburned"
"1006","AMAL",10,"1",671,1980,"Legacy","Unburned"
"1006","MOSS",79,"4",671,1980,"Legacy","Unburned"
"1008","GASH",49,"2",594,1980,"Legacy","Unburned"
"1008","TABR",114,"1",594,1980,"Legacy","Unburned"
"1008","CHUM",26,"1",594,1980,"Legacy","Unburned"
"1008","MARA",77,"1",594,1980,"Legacy","Unburned"
"1008","MOSS",79,"3",594,1980,"Legacy","Unburned"
"1008","MANE",76,"3",594,1980,"Legacy","Unburned"
"1008","ACCI",1,"2",594,1980,"Legacy","Unburned"
"1009","GASH",49,"5",381,1980,"Legacy","Unburned"
"1009","VAPA",123,"1",381,1980,"Legacy","Unburned"
"1009","MOSS",79,"5",381,1980,"Legacy","Unburned"
"1009","VAME",122,"1",381,1980,"Legacy","Unburned"
"1010","CLUN",28,"2",721,1980,"Legacy","Unburned"
"1010","PTAQ",95,"1",721,1980,"Legacy","Unburned"
"1010","POMU",91,"1",721,1980,"Legacy","Unburned"
"1010","MARA",77,"3",721,1980,"Legacy","Unburned"
"1011","GASH",49,"2",948,1980,"Legacy","Unburned"
"1011","ACCI",1,"1",948,1980,"Legacy","Unburned"
"1011","PAMY",83,"1",948,1980,"Legacy","Unburned"
"1011","MANE",76,"1",948,1980,"Legacy","Unburned"
"1011","MOSS",79,"3",948,1980,"Legacy","Unburned"
"1011","GOOB",51,"1",948,1980,"Legacy","Unburned"
"1011","SAXX",104,"1",948,1980,"Legacy","Unburned"
"1011","LIBO",64,"1",948,1980,"Legacy","Unburned"
