"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Data.Type","Elevation.m","Fires","Data.Type.Elevation.m","Elevation.m.Fires","Data.Type.Fires","Elevation.m2","Data.Type.Elevation.m2","Elevation.m2.Fires","Data.Type.Elevation.m.Fires","Data.Type.Elevation.m2.Fires"
"ACCI",1,72,58,"No","Unavg","Mod.15",1.92061118575009,0.165841792002853,0.245193881681994,-2.53838911788208,-0.121359522054826,0.00746026590776573,NA,-0.000269489359402305,NA,NA,-6.21746186745406e-06,NA,NA,NA,NA
"ACCI",1,72,58,"No","Unavg","Mod.6",0.155268647260982,0.400897403490636,0.241939691915208,-2.59215938571371,NA,0.00729894807554501,NA,NA,NA,NA,-6.18555888307157e-06,NA,NA,NA,NA
"ACCI",1,72,58,"No","Unavg","Mod.7",0,0.433260804506511,0.245078272792767,-2.44080756975327,-0.314787127707714,0.00731146572675171,NA,NA,NA,NA,-6.19941019525826e-06,NA,NA,NA,NA
"ACCI",1,72,58,"No","Avg",NA,NA,NA,NA,-2.5176672185935,-0.15651140481312,0.00733112472155486,0,-4.46925982889792e-05,0,0,-6.19685096183328e-06,0,0,0,0
"ACGL",1,15,14,"No","Unavg","Mod.6",0,0.727898138210292,0.0651197343902853,-4.00012116050012,NA,0.00389152325790849,NA,NA,NA,NA,-2.74298776290735e-06,NA,NA,NA,NA
"ACGL",1,15,14,"No","Unavg","Mod.7",1.96796926060162,0.272101861789708,0.0652507445185456,-3.96611256278945,-0.0684237155118151,0.00389066361584039,NA,NA,NA,NA,-2.74257788755581e-06,NA,NA,NA,NA
"ACGL",1,15,14,"No","Avg",NA,NA,NA,NA,-3.99086735774619,-0.0186182203813342,0.00389128934770129,0,0,0,0,-2.7428762350611e-06,0,0,0,0
"ACMI",1,10,20,"Yes","Unavg","Mod.219",0,0.412843359868385,0.120658849632553,-2.8137365743762,-2.76906953893275,-0.000744462637717693,1.4939431995891,0.00247067382366566,-0.00205051738333847,3.31335252009674,NA,NA,NA,NA,NA
"ACMI",1,10,20,"Yes","Unavg","Mod.223",1.67533592782647,0.17864494404598,0.121953129450668,-3.36059977606249,-3.08024822740692,0.000470285532245753,1.66582301483275,0.00272784914385253,-0.00222542008248314,3.42148007187662,-5.60558005307015e-07,NA,NA,NA,NA
"ACMI",1,10,20,"Yes","Unavg","Mod.479",1.926691841115,0.157546763693332,0.128924134081226,-4.54386571823943,-3.63974670217604,0.00298679432682679,4.47472535229697,0.0031877319668206,-0.0086811133592001,3.87536231416197,-1.70259624786107e-06,NA,2.65179048223554e-06,NA,NA
"ACMI",1,10,20,"Yes","Unavg","Mod.731",0.995510058610591,0.250964932392303,0.124663268877148,-2.92008028534595,-2.52426449376441,-0.000634634330505601,5.86146442290646,0.00226455872287718,-0.0114263339265203,-1.28908252890787,NA,NA,NA,0.00956065712288002,NA
"ACMI",1,10,20,"Yes","Avg",NA,NA,NA,NA,-3.21069571006329,-2.90039492600423,8.79564941018156e-05,3.09035590953169,0.00257785942185005,-0.00547939296847795,2.26616198383981,-3.68379382219519e-07,0,4.17781008468989e-07,0.00239938966846957,0
"AMAL",1,42,42,"Yes","Unavg","Mod.14",1.22030345409797,0.284249300735539,0.114156402567304,-2.96155252306739,NA,0.0045863139428511,0.346953182397235,NA,NA,NA,-3.3436466795e-06,NA,NA,NA,NA
"AMAL",1,42,42,"Yes","Unavg","Mod.6",0,0.523220718868799,0.112665295042939,-2.8397737367125,NA,0.0044025912445961,NA,NA,NA,NA,-3.2597438800373e-06,NA,NA,NA,NA
"AMAL",1,42,42,"Yes","Unavg","Mod.7",1.99950303145386,0.192529980395662,0.112666245455689,-2.8424754288968,0.00534087365237409,0.00440267364839099,NA,NA,NA,NA,-3.25978691158297e-06,NA,NA,NA,NA
"AMAL",1,42,42,"Yes","Avg",NA,NA,NA,NA,-2.87490942832157,0.00102827829958729,0.00445483015830535,0.0986211994843839,0,0,0,-3.28360147697697e-06,0,0,0,0
