"new_Model_id","X.Intercept.","AIC","logLik","Data.TypeResurvey","Elevation.m","Elevation.m2","Data.TypeResurvey.Elevation.m","Data.TypeResurvey.Elevation.m2","Model_id","Has_warning","Probability_warning","Converge_warning","Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","FiresBurned","Data.TypeResurvey.FiresBurned","Elevation.m.FiresBurned","Elevation.m2.FiresBurned","Data.TypeResurvey.Elevation.m.FiresBurned","Data.TypeResurvey.Elevation.m2.FiresBurned"
"Mod.0",-1.54099434060391,688.7016436224,-343.3508218112,NA,NA,NA,NA,NA,"0",FALSE,FALSE,FALSE,"ACCI",1,72,58,"No","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.1",-1.4170660197865,688.913940546643,-342.456970273322,-0.259063267146232,NA,NA,NA,NA,"1",FALSE,FALSE,FALSE,"ACCI",1,72,58,"No","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.11",1.4489899959971,555.287819525893,-273.643909762947,-0.317465662976638,-0.00311658163240479,NA,2.13949531716612e-06,NA,"11",FALSE,FALSE,FALSE,"ACCI",1,72,58,"No","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.15",-2.53838911788208,528.326602065218,-259.163301032609,-0.121359522054826,0.00746026590776573,-6.21746186745406e-06,-0.000269489359402305,NA,"15",FALSE,FALSE,FALSE,"ACCI",1,72,58,"No","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.2",1.28716437754718,553.463681938183,-274.731840969091,NA,-0.00310428494827543,NA,NA,NA,"2",FALSE,FALSE,FALSE,"ACCI",1,72,58,"No","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.3",1.44823724994741,553.287829512451,-273.643914756225,-0.31583544139892,-0.00311561360981847,NA,NA,NA,"3",FALSE,FALSE,FALSE,"ACCI",1,72,58,"No","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.31",-2.9364912422561,530.04966251348,-259.02483125674,0.716828822301466,0.00858033543934978,-6.93434229043766e-06,-0.00264547019696333,1.53219132726396e-06,"31",FALSE,FALSE,FALSE,"ACCI",1,72,58,"No","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.6",-2.59215938571371,526.561259526729,-260.280629763365,NA,0.00729894807554501,-6.18555888307157e-06,NA,NA,"6",FALSE,FALSE,FALSE,"ACCI",1,72,58,"No","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.7",-2.44080756975327,526.405990879468,-259.202995439734,-0.314787127707714,0.00731146572675171,-6.19941019525826e-06,NA,NA,"7",FALSE,FALSE,FALSE,"ACCI",1,72,58,"No","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.0",-3.19514826370721,246.490558277559,-122.24527913878,NA,NA,NA,NA,NA,"0",FALSE,FALSE,FALSE,"ACGL",1,15,14,"No","Unavg.w.warn",NA,NA,NA,NA,NA,NA
