"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Resurvey.Burned.fi.CI.Lower","Resurvey.Unburned.fi.CI.Lower","Elevation.m.Res.Burn.fi.CI.Lower","Elevation.m.Res.Unburn.fi.CI.Lower","Elevation.m2.Res.Burn.fi.CI.Lower","Elevation.m2.Res.Unburn.fi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper","Resurvey.Burned.fi.CI.Upper","Resurvey.Unburned.fi.CI.Upper","Elevation.m.Res.Burn.fi.CI.Upper","Elevation.m.Res.Unburn.fi.CI.Upper","Elevation.m2.Res.Burn.fi.CI.Upper","Elevation.m2.Res.Unburn.fi.CI.Upper"
"ACCI",1,72,58,"No","Avg.Confidence",-4.26795051020749,0.00278190913729138,-9.04940929133194e-06,-0.855445690860329,-0.000835339471453355,NA,NA,NA,NA,NA,NA,NA,-0.76738392697951,0.0118803403058183,-3.34429263233461e-06,0.54242288123409,0.000745954274875397,NA,NA,NA,NA,NA,NA,NA
"ACGL",1,15,14,"No","Avg.Confidence",-6.59546321493149,-0.00191065285591891,-5.72528711923175e-06,-0.414765848253647,NA,NA,NA,NA,NA,NA,NA,NA,-1.3862715005609,0.00969323155132149,2.39534649109558e-07,0.377529407490978,NA,NA,NA,NA,NA,NA,NA,NA
"ACMI",1,10,20,"Yes","Avg.Confidence",-4.72206265337877,-0.00297947768360106,-1.08192072578386e-06,NA,NA,NA,-0.168168866447402,-5.62921787929981,-0.00131082892438476,-0.000850027222424025,NA,NA,-1.21056573618697,0.00201379789439132,8.76926442076499e-07,NA,NA,NA,4.01882293118017,1.34323482590907,0.00239331566698826,0.00484156982258622,NA,NA
"AMAL",1,42,42,"No","Avg.Confidence",-4.4904282237551,0.000624546810897378,-5.26668665184628e-06,-0.242546729674915,NA,NA,NA,NA,NA,NA,NA,NA,-1.19057270753955,0.00818068000993441,-1.25282425836328e-06,0.24542001586421,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",1,42,29,"Yes","Avg.Confidence",-3.5558195684344,-0.00276381821702459,-2.58703423070574e-06,NA,NA,NA,-1.8778513178722,-3.56380024336842,-0.00138393114810264,-0.00052839225788703,NA,NA,0.0379167165938272,0.00443226830147222,6.93020451265375e-07,NA,NA,NA,2.03969280008027,0.07489968411809,0.00226291331605456,0.00291440403512739,NA,NA
"ATFI",1,24,30,"No","Avg.Confidence",-4.07101512504359,-0.00349143902909981,-3.71143681328295e-06,-0.301417880059853,NA,NA,NA,NA,NA,NA,NA,NA,-0.0593049804881693,0.00556477521124164,8.93085712723853e-07,0.440481684151924,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",1,32,28,"No","Avg.Confidence",-48.06350974889,0.00335881282727881,-1.28371885646456e-05,-0.453081123585957,NA,NA,NA,NA,NA,NA,NA,NA,-8.33514274170069,0.0495375747658886,5.05239779140641e-07,0.328943542919498,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",1,33,21,"Yes","Avg.Confidence",-6.7480547069197,0.000512897351846954,-4.92858826411516e-06,NA,NA,NA,-2.90185007822675,-10.3056041871094,-0.00693380954973744,-0.00924825931793533,-2.5067895567645e-06,-7.26839894600474e-06,-1.90678019811058,0.0100266429733564,-6.03219480362782e-07,NA,NA,NA,4.04088591042819,4.17592296296769,0.00618084558976626,0.0174020660418556,3.27748886286999e-06,4.15511227849816e-06
"CEVE",1,26,23,"Yes","Avg.Confidence",-9.02925329219483,0.00391796525994603,-6.5732444377722e-06,NA,NA,NA,0.0594494747030891,-2.93715491200591,-0.00114057934817555,-0.0012893494932024,NA,NA,-3.87745229311184,0.0138004442887615,-2.02665434361589e-06,NA,NA,NA,3.39230849427281,0.827753235834729,0.00165688919471621,0.00206959703713354,NA,NA
"CHUM",1,61,49,"No","Avg.Confidence",-5.90544214001358,0.00348443071847667,-7.42508616055135e-06,-1.88116368368791,-0.00469935192673541,-2.95326628186264e-06,NA,NA,NA,NA,NA,NA,-1.93560322902128,0.0123641209025682,-2.72453568687722e-06,2.26757504069811,0.00431244753095332,2.23794654302195e-06,NA,NA,NA,NA,NA,NA
