"Dataset","Species","Forced.Fire","Forced.No.Fire","Forced.Simpler.Mod","Discard.Later","One.Top.Mod"
"1","ACCI","NA","No","NA","NA","No"
"1","ACGL","NA","No","NA","NA","No"
"1","ACMI","No","NA","NA","NA","No"
"1","AMAL","NA","No","NA","NA","No"
"1","ARUV","No","NA","NA","NA","No"
"1","ATFI","NA","No","NA","NA","No"
"1","CAME","NA","No","NA","NA","No"
"1","CARU","No","NA","NA","NA","No"
"1","CEVE","No","NA","NA","NA","No"
"1","CHUM","NA","No","NA","NA","No"
"1","CLUN","NA","No","NA","NA","No"
"1","COCA","NA","No","NA","NA","No"
"1","EPAN","No","NA","NA","NA","No"
"1","GAOV","NA","No","NA","NA","No"
"1","GASH","NA","No","NA","NA","No"
"1","GOOB","NA","No","NA","NA","No"
"1","GYDR","NA","No","NA","NA","No"
"1","HIAL","NA","No","NA","NA","No"
"1","HODI","NA","No","Yes","NA","No"
"1","LIBO","NA","No","NA","NA","No"
"1","MANE","NA","No","NA","NA","No"
"1","MEFE","NA","No","NA","NA","Yes"
"1","OPHO","NA","No","NA","NA","No"
"1","PAMY","No","NA","NA","NA","Yes"
"1","POMU","NA","No","NA","NA","No"
"1","PTAQ","NA","No","NA","NA","No"
"1","RULA","NA","No","NA","NA","No"
"1","RUPA","NA","No","NA","NA","No"
"1","RUPE","NA","No","NA","NA","No"
"1","RUSP","NA","No","NA","NA","No"
"1","SOSI","NA","No","NA","NA","No"
"1","SPBE","NA","Yes","NA","NA","No"
"1","TITR","NA","No","NA","NA","No"
"1","TRBO","NA","No","NA","NA","No"
"1","VAME","No","NA","Yes","NA","Yes"
"1","VASI","NA","No","NA","NA","No"
"2","ACCI","NA","No","NA","NA","No"
"2","ACGL","NA","No","NA","NA","No"
"2","ACMI","No","NA","NA","NA","No"
"2","AMAL","NA","No","NA","NA","No"
"2","ARUV","No","NA","NA","NA","No"
"2","ATFI","NA","No","NA","NA","No"
"2","CAME","NA","No","NA","NA","No"
"2","CARU","No","NA","NA","NA","No"
"2","CEVE","No","NA","NA","NA","Yes"
"2","CHUM","NA","No","NA","NA","No"
"2","CLUN","NA","No","NA","NA","No"
"2","COCA","NA","No","NA","NA","No"
"2","EPAN","No","NA","NA","NA","No"
"2","GAOV","NA","No","NA","NA","No"
"2","GASH","NA","No","NA","NA","No"
"2","GOOB","NA","No","NA","NA","No"
"2","GYDR","NA","No","NA","NA","No"
"2","HIAL","NA","No","NA","NA","No"
"2","HODI","NA","No","Yes","NA","No"
"2","LIBO","NA","No","NA","NA","No"
"2","MANE","NA","No","NA","NA","No"
"2","MEFE","NA","No","NA","NA","No"
"2","OPHO","NA","No","NA","NA","Yes"
"2","PAMY","No","NA","NA","NA","Yes"
"2","POMU","NA","No","NA","NA","No"
"2","PTAQ","NA","No","NA","NA","No"
"2","RULA","NA","No","NA","NA","No"
"2","RUPA","NA","No","NA","NA","No"
"2","RUPE","NA","No","NA","NA","No"
"2","RUSP","NA","No","NA","NA","No"
"2","SOSI","NA","No","NA","NA","No"
"2","SPBE","NA","Yes","NA","NA","No"
"2","TITR","NA","No","NA","NA","No"
"2","TRBO","NA","No","NA","NA","No"
"2","VAME","No","NA","Yes","NA","Yes"
"2","VASI","NA","No","NA","NA","No"
"3","ACCI","NA","No","NA","NA","No"
"3","ACGL","NA","No","NA","NA","No"
"3","ACMI","No","NA","NA","NA","No"
"3","AMAL","NA","No","NA","NA","No"
"3","ARUV","No","NA","NA","NA","No"
"3","ATFI","NA","No","NA","NA","No"
"3","CAME","NA","No","NA","NA","No"
"3","CARU","No","NA","NA","NA","Yes"
"3","CEVE","No","NA","NA","NA","No"
"3","CHUM","NA","No","NA","NA","No"
"3","CLUN","NA","No","NA","NA","No"
"3","COCA","NA","No","NA","NA","No"
"3","EPAN","No","NA","NA","NA","No"
"3","GAOV","NA","No","NA","Yes","NA"
"3","GASH","NA","No","NA","NA","No"
"3","GOOB","NA","No","NA","NA","No"
"3","GYDR","NA","No","NA","NA","No"
"3","HIAL","NA","No","NA","NA","No"
"3","HODI","NA","No","Yes","NA","No"
"3","LIBO","NA","No","NA","NA","No"
"3","MANE","NA","No","NA","NA","No"
"3","MEFE","NA","No","NA","NA","No"
"3","OPHO","NA","No","NA","NA","No"
"3","PAMY","No","NA","NA","NA","Yes"
"3","POMU","NA","No","NA","NA","No"
"3","PTAQ","NA","No","NA","NA","No"
"3","RULA","NA","No","NA","NA","No"
"3","RUPA","NA","No","NA","NA","No"
"3","RUPE","NA","No","NA","NA","No"
"3","RUSP","NA","No","NA","NA","No"
"3","SOSI","NA","No","NA","NA","No"
"3","SPBE","NA","Yes","NA","NA","No"
"3","TITR","NA","No","NA","NA","No"
"3","TRBO","NA","No","NA","NA","No"
"3","VAME","No","NA","Yes","NA","Yes"
"3","VASI","NA","No","NA","NA","No"
"4","ACCI","NA","No","NA","NA","No"
"4","ACGL","NA","No","NA","NA","No"
"4","ACMI","No","NA","NA","NA","No"
"4","AMAL","NA","Yes","NA","NA","No"
"4","ARUV","No","NA","NA","NA","No"
"4","ATFI","NA","No","NA","NA","No"
"4","CAME","NA","No","NA","Yes","NA"
"4","CARU","No","NA","NA","NA","Yes"
"4","CEVE","No","NA","NA","NA","Yes"
"4","CHUM","NA","No","NA","NA","No"
"4","CLUN","NA","No","NA","NA","No"
"4","COCA","NA","No","NA","NA","No"
"4","EPAN","No","NA","NA","NA","Yes"
"4","GAOV","NA","No","NA","NA","No"
"4","GASH","NA","No","NA","NA","No"
"4","GOOB","NA","No","NA","NA","No"
"4","GYDR","NA","No","NA","NA","No"
"4","HIAL","NA","No","NA","NA","No"
"4","HODI","NA","No","Yes","NA","No"
"4","LIBO","NA","No","NA","NA","No"
"4","MANE","NA","No","NA","NA","No"
"4","MEFE","NA","No","NA","NA","No"
"4","OPHO","NA","No","NA","NA","No"
"4","PAMY","No","NA","NA","NA","Yes"
"4","POMU","NA","No","NA","NA","No"
"4","PTAQ","NA","No","NA","NA","No"
"4","RULA","NA","No","NA","NA","No"
"4","RUPA","NA","No","NA","NA","No"
"4","RUPE","NA","No","NA","NA","No"
"4","RUSP","NA","No","NA","NA","No"
"4","SOSI","NA","No","NA","NA","No"
"4","SPBE","NA","Yes","NA","NA","No"
"4","TITR","NA","No","NA","NA","No"
"4","TRBO","NA","No","NA","Yes","NA"
"4","VAME","No","NA","Yes","NA","Yes"
"4","VASI","NA","No","NA","NA","No"
"5","ACCI","NA","No","NA","NA","No"
"5","ACGL","NA","No","NA","NA","No"
"5","ACMI","No","NA","NA","NA","No"
"5","AMAL","NA","Yes","NA","NA","No"
"5","ARUV","No","NA","NA","NA","No"
"5","ATFI","NA","No","NA","NA","No"
"5","CAME","NA","No","NA","Yes","NA"
"5","CARU","Yes","NA","NA","NA","No"
"5","CEVE","No","NA","NA","NA","No"
"5","CHUM","NA","No","NA","NA","No"
"5","CLUN","NA","No","NA","NA","No"
"5","COCA","NA","No","NA","NA","No"
"5","EPAN","No","NA","NA","NA","No"
"5","GAOV","NA","No","NA","NA","No"
"5","GASH","NA","No","NA","NA","No"
"5","GOOB","NA","No","NA","NA","No"
"5","GYDR","NA","No","NA","NA","No"
"5","HIAL","NA","No","NA","NA","No"
"5","HODI","NA","No","Yes","NA","No"
"5","LIBO","NA","No","NA","NA","No"
"5","MANE","NA","No","NA","NA","No"
"5","MEFE","NA","No","NA","NA","No"
"5","OPHO","NA","No","NA","NA","No"
"5","PAMY","No","NA","NA","NA","Yes"
"5","POMU","NA","No","NA","NA","No"
"5","PTAQ","NA","No","NA","NA","No"
"5","RULA","NA","No","NA","NA","No"
"5","RUPA","NA","No","NA","NA","No"
"5","RUPE","NA","No","NA","NA","No"
"5","RUSP","NA","No","NA","NA","No"
"5","SOSI","NA","No","NA","NA","No"
"5","SPBE","NA","No","NA","NA","No"
"5","TITR","NA","No","NA","NA","No"
"5","TRBO","NA","No","NA","Yes","NA"
"5","VAME","No","NA","Yes","NA","Yes"
"5","VASI","NA","No","NA","NA","No"
"6","ACCI","NA","No","NA","NA","No"
"6","ACGL","NA","No","NA","NA","No"
"6","ACMI","No","NA","NA","NA","No"
"6","AMAL","NA","No","NA","NA","No"
"6","ARUV","No","NA","NA","NA","No"
"6","ATFI","NA","No","NA","NA","No"
"6","CAME","NA","No","NA","NA","No"
"6","CARU","No","NA","NA","NA","No"
"6","CEVE","No","NA","NA","NA","No"
"6","CHUM","NA","No","NA","NA","No"
"6","CLUN","NA","No","NA","NA","No"
"6","COCA","NA","No","NA","NA","No"
"6","EPAN","No","NA","NA","NA","Yes"
"6","GAOV","NA","No","NA","NA","No"
"6","GASH","NA","No","NA","NA","No"
"6","GOOB","NA","No","NA","NA","No"
"6","GYDR","NA","No","NA","NA","No"
"6","HIAL","NA","No","NA","NA","No"
"6","HODI","NA","No","Yes","NA","No"
"6","LIBO","NA","No","NA","NA","No"
"6","MANE","NA","No","NA","NA","No"
"6","MEFE","NA","No","NA","NA","Yes"
"6","OPHO","NA","No","NA","NA","Yes"
"6","PAMY","No","NA","NA","NA","Yes"
"6","POMU","NA","No","NA","NA","No"
"6","PTAQ","NA","No","NA","NA","No"
"6","RULA","NA","No","NA","NA","No"
"6","RUPA","NA","No","NA","NA","No"
"6","RUPE","NA","No","NA","NA","No"
"6","RUSP","NA","No","NA","NA","No"
"6","SOSI","NA","No","NA","NA","No"
"6","SPBE","NA","Yes","NA","NA","No"
"6","TITR","NA","No","NA","NA","No"
"6","TRBO","NA","No","NA","NA","No"
"6","VAME","No","NA","Yes","NA","Yes"
"6","VASI","NA","No","NA","NA","No"
"7","ACCI","NA","No","NA","NA","No"
"7","ACGL","NA","No","NA","NA","No"
"7","ACMI","No","NA","NA","NA","No"
"7","AMAL","NA","Yes","NA","NA","No"
"7","ARUV","No","NA","NA","NA","No"
"7","ATFI","NA","No","NA","NA","No"
"7","CAME","NA","No","NA","NA","No"
"7","CARU","Yes","NA","NA","NA","No"
"7","CEVE","No","NA","NA","NA","Yes"
"7","CHUM","NA","No","NA","NA","No"
"7","CLUN","NA","No","NA","NA","No"
"7","COCA","NA","No","NA","NA","No"
"7","EPAN","No","NA","NA","NA","Yes"
"7","GAOV","NA","No","NA","NA","No"
"7","GASH","NA","No","NA","NA","No"
"7","GOOB","NA","No","NA","NA","No"
"7","GYDR","NA","No","NA","NA","No"
"7","HIAL","NA","No","NA","NA","No"
"7","HODI","NA","No","Yes","NA","No"
"7","LIBO","NA","No","NA","NA","No"
"7","MANE","NA","No","NA","NA","No"
"7","MEFE","NA","No","NA","NA","No"
"7","OPHO","NA","No","NA","NA","No"
"7","PAMY","No","NA","NA","NA","Yes"
"7","POMU","NA","No","NA","NA","No"
"7","PTAQ","NA","No","NA","NA","No"
"7","RULA","NA","No","NA","NA","No"
"7","RUPA","NA","No","NA","NA","No"
"7","RUPE","NA","No","NA","NA","No"
"7","RUSP","NA","No","NA","NA","No"
"7","SOSI","NA","No","NA","NA","No"
"7","SPBE","NA","No","NA","NA","No"
"7","TITR","NA","No","NA","NA","No"
"7","TRBO","NA","No","NA","NA","No"
"7","VAME","No","NA","Yes","NA","Yes"
"7","VASI","NA","No","NA","NA","No"
"8","ACCI","NA","No","NA","NA","No"
"8","ACGL","NA","No","NA","NA","No"
"8","ACMI","No","NA","NA","NA","No"
"8","AMAL","NA","Yes","NA","NA","No"
"8","ARUV","No","NA","NA","NA","No"
"8","ATFI","NA","No","NA","NA","No"
"8","CAME","NA","No","NA","NA","No"
"8","CARU","Yes","NA","NA","NA","Yes"
"8","CEVE","No","NA","NA","NA","Yes"
"8","CHUM","NA","No","NA","NA","No"
"8","CLUN","NA","No","NA","NA","No"
"8","COCA","NA","No","NA","NA","No"
"8","EPAN","No","NA","NA","NA","Yes"
"8","GAOV","NA","No","NA","NA","No"
"8","GASH","NA","No","NA","NA","No"
"8","GOOB","NA","No","NA","NA","No"
"8","GYDR","NA","No","NA","NA","No"
"8","HIAL","NA","No","NA","NA","No"
"8","HODI","NA","No","Yes","NA","No"
"8","LIBO","NA","No","NA","NA","No"
"8","MANE","NA","No","NA","NA","No"
"8","MEFE","NA","No","NA","NA","No"
"8","OPHO","NA","No","NA","NA","No"
"8","PAMY","No","NA","NA","NA","Yes"
"8","POMU","NA","No","NA","NA","No"
"8","PTAQ","NA","No","NA","NA","No"
"8","RULA","NA","No","NA","NA","No"
"8","RUPA","NA","No","NA","NA","No"
"8","RUPE","NA","No","NA","NA","No"
"8","RUSP","NA","No","NA","NA","No"
"8","SOSI","NA","No","NA","NA","No"
"8","SPBE","NA","Yes","NA","NA","No"
"8","TITR","NA","No","NA","NA","No"
"8","TRBO","NA","No","NA","Yes","NA"
"8","VAME","No","NA","Yes","NA","Yes"
"8","VASI","NA","No","NA","NA","No"
"9","ACCI","NA","No","NA","NA","No"
"9","ACGL","NA","No","NA","NA","No"
"9","ACMI","No","NA","NA","NA","No"
"9","AMAL","NA","No","NA","NA","No"
"9","ARUV","Yes","NA","NA","NA","No"
"9","ATFI","NA","No","NA","NA","No"
"9","CAME","NA","No","NA","NA","No"
"9","CARU","No","NA","NA","NA","Yes"
"9","CEVE","No","NA","NA","NA","Yes"
"9","CHUM","NA","No","NA","NA","No"
"9","CLUN","NA","No","NA","NA","No"
"9","COCA","NA","No","NA","NA","No"
"9","EPAN","No","NA","NA","NA","Yes"
"9","GAOV","NA","No","NA","NA","No"
"9","GASH","NA","No","NA","NA","No"
"9","GOOB","NA","No","NA","NA","No"
"9","GYDR","NA","No","NA","NA","No"
"9","HIAL","NA","No","NA","NA","No"
"9","HODI","NA","No","Yes","NA","No"
"9","LIBO","NA","No","NA","NA","No"
"9","MANE","NA","No","NA","NA","No"
"9","MEFE","NA","No","NA","NA","No"
"9","OPHO","NA","No","NA","NA","Yes"
"9","PAMY","No","NA","NA","NA","Yes"
"9","POMU","NA","No","NA","NA","No"
"9","PTAQ","NA","No","NA","NA","No"
"9","RULA","NA","No","NA","NA","No"
"9","RUPA","NA","No","NA","NA","No"
"9","RUPE","NA","No","NA","NA","No"
"9","RUSP","NA","No","NA","NA","No"
"9","SOSI","NA","No","NA","NA","No"
"9","SPBE","NA","No","NA","NA","No"
"9","TITR","NA","No","NA","NA","No"
"9","TRBO","NA","No","NA","Yes","NA"
"9","VAME","No","NA","Yes","NA","Yes"
"9","VASI","NA","No","NA","NA","No"
"10","ACCI","NA","No","NA","NA","No"
"10","ACGL","NA","No","NA","NA","No"
"10","ACMI","No","NA","NA","NA","No"
"10","AMAL","NA","Yes","NA","NA","No"
"10","ARUV","No","NA","NA","NA","No"
"10","ATFI","NA","No","NA","NA","No"
"10","CAME","NA","No","NA","Yes","NA"
"10","CARU","No","NA","NA","NA","No"
"10","CEVE","No","NA","NA","NA","No"
"10","CHUM","NA","No","NA","NA","No"
"10","CLUN","NA","No","NA","NA","No"
"10","COCA","NA","No","NA","NA","No"
"10","EPAN","No","NA","NA","NA","Yes"
"10","GAOV","NA","No","NA","NA","No"
"10","GASH","NA","No","NA","NA","No"
"10","GOOB","NA","No","NA","NA","No"
"10","GYDR","NA","No","NA","NA","No"
"10","HIAL","NA","No","NA","NA","No"
"10","HODI","NA","No","Yes","NA","No"
"10","LIBO","NA","No","NA","NA","No"
"10","MANE","NA","No","NA","NA","No"
"10","MEFE","NA","No","NA","NA","No"
"10","OPHO","NA","No","NA","NA","No"
"10","PAMY","No","NA","NA","NA","Yes"
