"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Data.Type.nofi","P.Data.Type.Elevation.m.nofi","P.Data.Type.Elevation.m2.nofi","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper"
"ACCI",1,72,58,"No","Global_unavg",0.245597171166315,-2.9364912422561,NA,NA,0.716828822301466,NA,NA,0.0176028995840486,NA,NA,0.681319492945587,NA,NA,-5.54654299586956,NA,NA,-2.74165138961297,NA,NA,-0.660795958606461,NA,NA,4.16482624936731,NA,NA
"ACGL",1,15,14,"No","Global_unavg",0.0797414942453196,-3.4476152933335,NA,NA,-3.03529199091139,NA,NA,0.0376331766188678,NA,NA,0.356441099016201,NA,NA,-7.1720678214544,NA,NA,-10.4822982001517,NA,NA,-0.565677259885611,NA,NA,2.88887187865218,NA,NA
"AMAL",1,42,42,"No","Global_unavg",0.112797591041416,-3.01813032877972,NA,NA,0.343738407769181,NA,NA,0.0129433143082369,NA,NA,0.83774593585153,NA,NA,-5.62734245645913,NA,NA,-2.96449156048535,NA,NA,-0.823288162179728,NA,NA,3.69248971185574,NA,NA
"ATFI",1,24,30,"No","Global_unavg",0.0823695612606651,-1.69029376987107,NA,NA,-1.31094896245329,NA,NA,0.164731559391412,NA,NA,0.463776320563851,NA,NA,-4.3156613757389,NA,NA,-4.9097861893343,NA,NA,0.519903859547341,NA,NA,2.20857905403839,NA,NA
"CAME",1,32,28,"No","Global_unavg",0.40383613663502,-26.3371259521151,NA,NA,-3.77768936417121,NA,NA,0.0582141780513941,NA,NA,0.852185235568426,NA,NA,-59.2787121829748,NA,NA,-45.1647120339607,NA,NA,-6.74442159134822,NA,NA,36.9089693063509,NA,NA
"CHUM",1,61,49,"No","Global_unavg",0.160477491076927,-3.79584260597698,NA,NA,-0.418154980869745,NA,NA,0.000888132151127527,NA,NA,0.819941936228991,NA,NA,-6.21598990192787,NA,NA,-4.16728594303014,NA,NA,-1.71196008301992,NA,NA,3.11572881521478,NA,NA
"CLUN",1,44,49,"No","Global_unavg",0.14324080474397,-8.06901401948567,NA,NA,1.07572880294186,NA,NA,6.94310886261901e-06,NA,NA,0.656386817214494,NA,NA,-11.9626123342997,NA,NA,-3.66374967410863,NA,NA,-4.89255344866021,NA,NA,5.92985567864882,NA,NA
"COCA",1,20,23,"No","Global_unavg",0.109091161061277,-2.82923291787379,NA,NA,-2.35251840804999,NA,NA,0.0640296130879177,NA,NA,0.345300941149787,NA,NA,-6.2528374329445,NA,NA,-7.58099165070764,NA,NA,-0.158295537343848,NA,NA,2.4437157193177,NA,NA
"GAOV",1,11,9,"No","Global_unavg",0.0980181530547044,-12.0926121369894,NA,NA,-0.889895971822213,NA,NA,0.00289034634440143,NA,NA,0.886233294693865,NA,NA,-21.8500784657227,NA,NA,-14.2856329110279,NA,NA,-5.60261462017855,NA,NA,11.4720939098405,NA,NA
"GASH",1,21,19,"No","Global_unavg",0.203094042950637,0.174116626213162,NA,NA,-1.58428304714838,NA,NA,0.906967144879585,NA,NA,0.467216365167152,NA,NA,-3.15525160956481,NA,NA,-6.05510490458732,NA,NA,2.82852103487194,NA,NA,2.73609414276508,NA,NA
