"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Resurvey.Burned.fi","P.Resurvey.Unburned.fi","P.Elevation.m.Res.Burn.fi","P.Elevation.m.Res.Unburn.fi","P.Elevation.m2.Res.Burn.fi","P.Elevation.m2.Res.Unburn.fi","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Resurvey.Burned.fi.CI.Lower","Resurvey.Unburned.fi.CI.Lower","Elevation.m.Res.Burn.fi.CI.Lower","Elevation.m.Res.Unburn.fi.CI.Lower","Elevation.m2.Res.Burn.fi.CI.Lower","Elevation.m2.Res.Unburn.fi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Resurvey.Burned.fi.CI.Upper","Resurvey.Unburned.fi.CI.Upper","Elevation.m.Res.Burn.fi.CI.Upper","Elevation.m.Res.Unburn.fi.CI.Upper","Elevation.m2.Res.Burn.fi.CI.Upper","Elevation.m2.Res.Unburn.fi.CI.Upper"
"ACMI",1,10,20,"Yes","Global_unavg",0.121755987811338,-4.700203381402,0.00369005411004842,-2.18505386838462e-06,4.55040256820793,-1.38638631594552,-0.0055492297717749,-0.00094093571215189,2.87857233376827e-06,1.75476215934911e-06,0.0325630020561407,0.419596148523282,0.313261867879277,0.111276257087894,0.696592722428024,0.347328530580445,0.883288383293234,0.281652123508213,0.523830944080923,-9.84042083156732,-0.00413231437778641,-7.33272195394918e-06,-0.816388913592708,-9.11818062110599,-0.0181564046539334,-0.0140210339832602,-2.01196907196761e-06,-3.48536595881414e-06,-1.03092450305274,0.014238407753431,1.41721016735815e-06,10.6614489959524,5.49531028274193,0.0054648717199871,0.0119487775979166,8.75869310403236e-06,7.68774040428581e-06
"ARUV",1,42,29,"Yes","Global_unavg",0.0480993976822204,-2.20636439905744,0.002016331905385,-1.58300803164983e-06,0.512778862035663,-1.6580599988978,-0.000697744674983005,0.000513998885520171,6.16564011805162e-07,5.11017513732344e-07,0.0320832042514819,0.357497060802359,0.131171399024463,0.83574364850747,0.360193091368877,0.894456616376861,0.885016475377716,0.795180216031952,0.747453618599136,-4.37493698331614,-0.00203988723818496,-3.82729929215353e-06,-4.88343926114444,-5.40945271710806,-0.01070027224451,-0.00635483972681838,-4.53611896695734e-06,-2.66699428743067e-06,-0.308431648525698,0.00661628393301804,3.19594585156142e-07,5.12989916553928,1.7740000739402,0.0104854658209689,0.00770547380618213,5.05044863806093e-06,3.6250827159467e-06
"CARU",1,33,21,"Yes","Global_unavg",0.0738217162349061,-3.60285653327251,0.00395704852729323,-2.25553863691442e-06,1.06370265905887,-7.77329456232643,-0.00202621173670772,0.0128206880494401,1.29738603133607e-06,-5.24086969064304e-06,0.00408410628663248,0.124636408872534,0.0610342049335169,0.703612421945133,0.0290516132249263,0.720461932793785,0.0568828861180323,0.600188763800966,0.0849126553488108,-6.29815334346128,-0.000731359048265928,-4.86227852131612e-06,-5.25125396571572,-15.801396478254,-0.0127835850827408,0.000936890896162872,-4.07609375589503e-06,-1.20416174313562e-05,-1.3420215731444,0.00945104054212772,-9.89516882745667e-08,6.20139772627859,-1.57632997627194,0.0102246828469406,0.0278068798006791,5.97960029936077e-06,1.20003043056467e-07
"CEVE",1,26,23,"Yes","Global_unavg",0.126340384656696,-5.0892808818493,0.00641493450085316,-3.33669831467707e-06,-4.54745507150652,-2.43097611024869,0.0128322203951919,0.00222176638571587,-5.433074384146e-06,-4.29822816618498e-07,0.00138474566846382,0.047064117244115,0.0277241389573839,0.281157506348978,0.429373656141932,0.126351431142211,0.703638359890492,0.150453406533386,0.868869990828855,-8.58092444827792,0.000669463108403576,-6.68830105731214e-06,-14.6653719554391,-9.11384989789649,-0.00161214094700198,-0.00873125438431347,-1.41976586398793e-05,-5.94982054024764e-06,-2.28833703316896,0.0134502957148085,-6.83266461682255e-07,2.58194554741059,3.22610928295939,0.0325046274553318,0.0146387206922898,1.12586340530871e-06,4.50606706758961e-06
"EPAN",1,18,24,"Yes","Global_unavg",0.125836263559397,-8.16025716098581,0.0103392904760859,-4.50399899962481e-06,6.31199903474481,5.58949483349829,-0.00642990113118122,-0.0120184444235709,2.35119962829026e-06,5.28885364857973e-06,0.000618221618005733,0.0185460803540091,0.0184441783337353,0.0387282821417448,0.0551368086592475,0.281292176943278,0.0274253420184278,0.371890879932566,0.0239658583399595,-13.5599775865793,0.00272760451614486,-8.79618021491044e-06,0.50811338683676,0.047043582124501,-0.0186457792562577,-0.0234133308900279,-2.83188548936801e-06,8.82519728782993e-07,-4.10619760538373,0.0201384338286046,-1.2137759234943e-06,12.7170041088478,11.7370620534262,0.00516138153688158,-0.00169508148993523,7.70859381846341e-06,1.02262667325592e-05
"PAMY",1,127,101,"Yes","Global_unavg",0.0450370952417883,-1.9959706605521,0.0037720780883584,-1.98097554989177e-06,-1.29736568312951,-0.205291032682766,0.00335612519926546,-0.000680038561567711,-1.30398327333039e-06,3.80681203143357e-07,0.00485699421790787,0.00718982264749501,0.00143191711834116,0.529422548583123,0.850746271535773,0.428283037279922,0.751437688156279,0.482469717028611,0.68802108170184,-3.43116064776239,0.00109371303420322,-3.24589261580752e-06,-5.74004563574731,-2.37260024566767,-0.00445692112874609,-0.00486712649723927,-5.32885099110566e-06,-1.49972673303195e-06,-0.643072871010521,0.0066113924011951,-8.02933915027332e-07,2.52681240223131,1.91849714856919,0.012442766270267,0.00357365168599165,2.0725029928483e-06,2.22940350288091e-06
"VAME",1,95,115,"Yes","Global_unavg",0.107230719234102,-6.8535179810367,0.0104490905378732,-4.10996823070722e-06,-7.66696924594938,0.864234318679447,0.00466044830119916,-0.000419211648736947,NA,NA,8.23743064586694e-17,4.39156778342186e-14,2.37703032466307e-13,0.0297607220856294,0.111148284381004,0.0255099533470488,0.338856550025419,NA,NA,-8.53784678899,0.00782917479182179,-5.24906498470231e-06,-15.8505451507143,-0.193026822020345,0.00118694276002213,-0.00128550723572969,NA,NA,-5.30757640775183,0.0132613721388203,-3.04722077768636e-06,-2.12532904748052,1.93964545617805,0.00933763031417471,0.000437200635673489,NA,NA
"ACMI",10,10,19,"Yes","Global_unavg",0.15570632943606,-4.70020340998527,0.00369005418295636,-2.18505391062192e-06,3.06913551864425,-9.850540848001,-0.00220508752732629,0.010259686322107,1.4350744048477e-06,-1.81945022805936e-06,0.0325707474147701,0.419621658018096,0.313296208874216,0.295955223031066,0.18295719203791,0.714359230118614,0.333594579243292,0.599694227102277,0.637600256696196,-9.84042152933582,-0.00413231837415899,-7.33272483522201e-06,-2.59618669512777,-29.5231486579392,-0.0149084836406731,-0.00762661982839211,-3.69546399370982e-06,-1.07621630525203e-05,-1.03092578865194,0.014238407454545,1.41720870815331e-06,9.26088026733687,1.33726475047987,0.00929646611220177,0.0366260082804868,7.37111612622849e-06,5.37340234309178e-06
"ARUV",10,42,26,"Yes","Global_unavg",0.0523894606402945,-2.20636439905744,0.002016331905385,-1.58300803164983e-06,1.60431803569499,-1.95912055183591,-0.00335876168262784,0.00108812850328678,1.65504433138815e-06,2.0356912879985e-07,0.0320832042514812,0.357497060802357,0.131171399024462,0.520170686027919,0.300473475786692,0.53971004489083,0.76967049036805,0.504265866347236,0.902612461692808,-4.37493698331613,-0.00203988723818495,-3.82729929215353e-06,-3.73418917779709,-5.91206357046241,-0.0140818929268757,-0.00603332784225423,-3.72677519402279e-06,-3.17060273446233e-06,-0.308431648525708,0.00661628393301803,3.19594585156145e-07,6.36876736611229,1.59422191582672,0.00808487647796806,0.00868099227879942,6.36545802683478e-06,3.43364587217084e-06
"CARU",10,33,22,"Yes","Global_unavg",0.0733977693065088,-3.60285653327252,0.00395704852729322,-2.25553863691441e-06,1.06370265905886,-7.68489199225139,-0.00202621173670771,0.0130304919872856,1.29738603133606e-06,-5.4408078087322e-06,0.00408410628663246,0.124636408872536,0.0610342049335183,0.703612421945135,0.0271207361740142,0.720461932793787,0.0500296423292362,0.600188763800968,0.0730037012980533,-6.29815334346129,-0.00073135904826594,-4.86227852131612e-06,-5.25125396571575,-15.4793603786066,-0.0127835850827408,0.00126028035279259,-4.07609375589504e-06,-1.22079575291168e-05,-1.34202157314441,0.00945104054212773,-9.89516882745715e-08,6.2013977262786,-1.60222481354878,0.0102246828469405,0.0277727090871039,5.97960029936078e-06,-8.54087090042376e-08
"CEVE",10,26,20,"Yes","Global_unavg",0.128791744325532,-5.08928088184928,0.00641493450085315,-3.33669831467707e-06,-5.87037800944176,-3.59616195399005,0.0144620026854553,0.00364799159101111,-5.92120487263074e-06,-8.74959805880738e-07,0.00138474566846403,0.0470641172441179,0.0277241389573858,0.22977974368787,0.303972484444773,0.123987806675973,0.571710827856838,0.15240093344847,0.756179779009504,-8.58092444827793,0.000669463108403553,-6.68830105731212e-06,-18.0290684914932,-11.4504219797481,-0.00117868642569573,-0.00816959161495804,-1.57940624654459e-05,-6.9858973289787e-06,-2.28833703316897,0.0134502957148086,-6.83266461682244e-07,2.04989913147799,2.63961895539041,0.0372099235891543,0.0177280815938763,1.05744263144831e-06,4.35946988582019e-06
"EPAN",10,18,26,"Yes","Global_unavg",0.10169357097294,-8.16025716098578,0.0103392904760859,-4.5039989996248e-06,5.1363639596834,4.44868481079878,-0.00459218353650739,-0.00899450467416233,1.70161672942228e-06,3.92963453984299e-06,0.000618221618005683,0.0185460803540086,0.018444178333735,0.103445141266477,0.130402004069775,0.453933889027534,0.100173835727738,0.527987582857169,0.0962670809686242,-13.5599775865794,0.00272760451614477,-8.79618021491047e-06,-1.01733455164082,-1.15489230321302,-0.0170103343801382,-0.0203997065876365,-3.67504093568409e-06,-5.51347037476459e-07,-4.1061976053837,0.0201384338286048,-1.21377592349429e-06,11.658082575457,10.6348673610334,0.00752824537878793,0.00142022511211694,7.1392139241697e-06,8.88519037933204e-06
