"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Resurvey.Burned.fi","P.Resurvey.Unburned.fi","P.Elevation.m.Res.Burn.fi","P.Elevation.m.Res.Unburn.fi","P.Elevation.m2.Res.Burn.fi","P.Elevation.m2.Res.Unburn.fi"
"ACMI",1,10,20,"Yes","Global_unavg",0.121755987811338,-3.79745936398687,-17.9955825669524,-12.3361521890761,2.59875065208038,0.129815771066884,14.7446865935883,40.7989166987135,16.2515473464651,9.90685555471668,8.34673697743483e-20,0.188848414916999,0.313261867879322,1.08482086443466e-05,0.824936458388241,0.363377757005358,0.0228431572706944,0.281652123508246,0.523830944080972
"ARUV",1,42,29,"Yes","Global_unavg",0.0480993976822204,-2.28040959202362,-21.5962761760837,-8.93718378183506,0.638685690920852,-0.343279375739654,9.55262433861942,22.1470760357948,3.48093362547574,2.88505007217342,5.07252544068489e-27,0.0019227976626945,0.131171399024462,0.223425775078202,0.263978253219054,0.502827501041235,0.0202328272281771,0.795180216031959,0.747453618599132
"CARU",1,33,21,"Yes","Global_unavg",0.0738217162349061,-2.50702889624271,-16.6485357093272,-12.7340878391658,0.710289077822842,-1.20864953669283,12.8315383186532,8.55663184568778,7.32464849590913,-29.5883625764742,1.42756004345909e-28,0.0234860878202902,0.061034204933517,0.190808085986058,0.0269579156733729,0.36571695847442,0.563711835469722,0.600188763800969,0.0849126553488133
"CEVE",1,26,23,"Yes","Global_unavg",0.126340384656696,-2.8463681881368,-17.3187334830163,-18.8379878475593,1.74968548956865,-0.595728831970265,2.8953905320225,15.9475406957487,-30.6734920484813,-2.42664940982126,6.81045494175324e-25,0.0529415145912755,0.0277241389573841,0.00255582057283688,0.19300767367717,0.870530062036214,0.253134814111664,0.150453406533387,0.868869990828859
"EPAN",1,18,24,"Yes","Global_unavg",0.125836263559397,-3.27081353062761,-1.48934084073627,-25.4282138865056,2.61539007510828,-0.0161748053398791,-12.6736538197246,3.34527023799043,13.2741608164252,29.8592654664698,2.32207809980963e-23,0.874926886211091,0.018444178333735,1.85094163990139e-07,0.970829025304309,0.361811719448761,0.782814981343646,0.371890879932561,0.0239658583399588
"PAMY",1,127,101,"Yes","Global_unavg",0.0450370952417883,-0.704733383418327,-10.7565459077929,-11.1839878274356,0.52016461661631,-0.403741186045193,4.29416476721794,2.65116460565442,-7.36189452560557,2.14921074736207,1.36431722698462e-09,0.0020200075243498,0.00143191711834115,0.17154176020405,0.0220295140392785,0.662914690844878,0.616881701491481,0.482469717028612,0.688021081701836
"VAME",1,95,115,"Yes","Global_unavg",0.107230719234102,-1.26780153074721,11.854921144131,-23.2036355349706,-2.50251590953927,0.399686949400734,60.7130399406007,-5.46119427325961,NA,NA,1.1479308490308e-20,0.00431211255656938,2.3770303246633e-13,0.0544996955655197,0.0249391354031189,0.025509953347049,0.33885655002542,NA,NA
"ACMI",10,10,19,"Yes","Global_unavg",0.15570632943606,-3.79745937337048,-17.9955828942425,-12.3361524275376,2.71828672515567,-1.13454620891442,14.6643985294859,78.6433065091693,8.1019953407107,-10.2720647937029,8.40491574837096e-20,0.188890779587474,0.313296208874168,2.43293637497335e-06,0.347598537733665,0.376191875971252,0.0213007393278753,0.599694227102202,0.637600256696391
"ARUV",10,42,26,"Yes","Global_unavg",0.0523894606402945,-2.28040959202362,-21.5962761760837,-8.93718378183508,0.295803627409879,-0.456459938793923,6.28612635580904,20.3304624107999,9.34387890709832,1.14928963089105,5.0725254406847e-27,0.00192279766269449,0.131171399024461,0.619967901267069,0.15021709538469,0.677872532752289,0.0400173994309659,0.50426586634724,0.902612461692803
"CARU",10,33,22,"Yes","Global_unavg",0.0733977693065088,-2.50702889624271,-16.6485357093272,-12.7340878391658,0.710289077822843,-1.17931504753531,12.8315383186532,5.24450642947033,7.3246484959091,-30.7171526208904,1.42756004345838e-28,0.0234860878202898,0.0610342049335171,0.190808085986057,0.0310933600174654,0.365716958474419,0.72590628140659,0.600188763800969,0.0730037012980529
"CEVE",10,26,20,"Yes","Global_unavg",0.128791744325532,-2.8463681881368,-17.3187334830163,-18.8379878475593,1.52097789343641,-0.829574535003536,9.36799580542021,21.068293510195,-33.4293289096237,-4.93975799903239,6.810454941754e-25,0.0529415145912756,0.0277241389573845,0.0149077311789438,0.0973248937005252,0.605258703766526,0.155074444879567,0.152400933448468,0.756179779009506
"EPAN",10,18,26,"Yes","Global_unavg",0.10169357097294,-3.27081353062762,-1.48934084073625,-25.4282138865056,2.52895362413057,0.21188768217272,-8.37386825437445,1.64185311867779,9.60681255750949,22.1855261475971,2.32207809980909e-23,0.874926886211092,0.0184441783337348,4.98649026397738e-07,0.616919919988554,0.551830593812255,0.892860025254256,0.527987582857168,0.0962670809686236
"PAMY",10,127,101,"Yes","Global_unavg",0.0539082319003797,-0.704733383418325,-10.7565459077929,-11.1839878274356,0.646756730967779,-0.45790393484695,-0.441618150063643,-0.235406748179301,-9.68720786907189,-0.567675585071847,1.36431722698471e-09,0.0020200075243498,0.00143191711834114,0.0939839731090492,0.0112725074535424,0.965522920522039,0.96593933099828,0.376306324381983,0.918550131434079
"VAME",10,95,115,"Yes","Global_unavg",0.0967857606859052,-1.24994599034059,11.6174502341664,-21.9376877728888,-1.55498441730674,0.372668298297508,49.5967416406709,-8.17175925209739,NA,NA,1.59970604608115e-20,0.00456761265491137,1.47156856684046e-12,0.103241896358746,0.0356108127793493,0.0178654758557418,0.149804972033534,NA,NA
