"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Data.Type.nofi","P.Data.Type.Elevation.m.nofi","P.Data.Type.Elevation.m2.nofi","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper"
"ACCI",1,72,58,"No","Global_unavg",0.245597171166315,-2.9364912422561,0.00858033543934978,-6.93434229043766e-06,0.716828822301466,-0.00264547019696333,1.53219132726396e-06,0.0176028995840486,0.0085402364582764,0.000743142157977044,0.681319492945587,0.565869231997431,0.597689795842216,-5.54654299586956,0.00268275345703194,-1.14126083882491e-05,-2.74165138961297,-0.0117429315268674,-4.28121786681591e-06,-0.660795958606461,0.0155376849142155,-3.32836462619532e-06,4.16482624936731,0.00650954565353153,7.27422890394549e-06
"ACGL",1,15,14,"No","Global_unavg",0.0797414942453196,-3.4476152933335,0.00210821370866363,-1.55221007638121e-06,-3.03529199091139,0.00898350107393253,-5.90349343665324e-06,0.0376331766188678,0.549233324363705,0.356152761680787,0.356441099016201,0.255281384650001,0.194169348647257,-7.1720678214544,-0.00412170498773015,-5.3971792725318e-06,-10.4822982001517,-0.00477456596746064,-1.68729554582595e-05,-0.565677259885611,0.00992676389432367,1.343992922718e-06,2.88887187865218,0.0272439339066647,1.6129353278379e-06
"AMAL",1,42,42,"No","Global_unavg",0.112797591041416,-3.01813032877972,0.00486603301468835,-3.5287431445121e-06,0.343738407769181,-0.000892064346124779,5.16250581640211e-07,0.0129433143082369,0.0824709838557789,0.0187314545355373,0.83774593585153,0.817048357140292,0.801151326410628,-5.62734245645913,-0.00016763554820812,-6.85355191607689e-06,-2.96449156048535,-0.00860131887727394,-3.53145141615449e-06,-0.823288162179728,0.0109162261861337,-9.12808129220786e-07,3.69248971185574,0.00670351530891505,4.65204059222609e-06
"ATFI",1,24,30,"No","Global_unavg",0.0823695612606651,-1.69029376987107,-1.82770339792078e-05,-9.0764305406367e-07,-1.31094896245329,0.00361503529647984,-1.78513678951695e-06,0.164731559391412,0.994679850281153,0.509531878986434,0.463776320563851,0.370007609413862,0.385838128583742,-4.3156613757389,-0.00501716344361813,-3.98785178785058e-06,-4.9097861893343,-0.00430918695783864,-5.98138497177644e-06,0.519903859547341,0.00589045371421183,1.50940475129654e-06,2.20857905403839,0.0117394053775833,2.27991774726679e-06
"CAME",1,32,28,"No","Global_unavg",0.40383613663502,-26.3371259521151,0.0239458638613657,-5.3311877854648e-06,-3.77768936417121,0.00499568880800762,-1.66732148988042e-06,0.0582141780513941,0.139350654064205,0.25584604274662,0.852185235568426,0.8321768932381,0.806695351535007,-59.2787121829748,0.00028440797808597,-1.60400827682594e-05,-45.1647120339607,-0.0420171120874415,-1.53926571285102e-05,-6.74442159134822,0.0615947586152204,1.81141251043277e-06,36.9089693063509,0.0527610661147646,1.1851158664148e-05
"CHUM",1,61,49,"No","Global_unavg",0.160477491076927,-3.79584260597698,0.00743773553899696,-4.66706131480802e-06,-0.418154980869745,0.00189282352472695,-1.9576095267798e-06,0.000888132151127527,0.00391878686206466,0.000575218803118927,0.819941936228991,0.669163629302079,0.440671078743251,-6.21598990192787,0.00275316519759837,-7.59770352194704e-06,-4.16728594303014,-0.00652383455398955,-7.32135838876842e-06,-1.71196008301992,0.0129183318950676,-2.25368431156249e-06,3.11572881521478,0.0110415783331164,2.77176860765114e-06
"CLUN",1,44,49,"No","Global_unavg",0.14324080474397,-8.06901401948567,0.0147087635589459,-7.64629064552444e-06,1.07572880294186,-0.0013287530576078,3.01216108255241e-07,6.94310886261901e-06,0.000106038084771408,5.81826474226799e-05,0.656386817214494,0.798189550521996,0.909380752195675,-11.9626123342997,0.00798590523117692,-1.18137578339388e-05,-3.66374967410863,-0.011718176787722,-4.94150988819235e-06,-4.89255344866021,0.0229329370851177,-4.31924239361209e-06,5.92985567864882,0.00890216369175101,5.58752121054837e-06
"COCA",1,20,23,"No","Global_unavg",0.109091161061277,-2.82923291787379,0.00256330198361968,-2.42449209612908e-06,-2.35251840804999,0.00618267904154966,-3.4018820013333e-06,0.0640296130879177,0.474598085003299,0.210687192451274,0.345300941149787,0.297494201808135,0.305642355360694,-6.2528374329445,-0.00368147695620212,-6.98273541383298e-06,-7.58099165070764,-0.00519808492236268,-1.05590033118196e-05,-0.158295537343848,0.0106470269778889,7.88015509027092e-07,2.4437157193177,0.0187029733601696,2.94966450707504e-06
"GAOV",1,11,9,"No","Global_unavg",0.0980181530547044,-12.0926121369894,0.0171952787999921,-7.67407005604148e-06,-0.889895971822213,0.00126598385721106,-5.51570753040514e-07,0.00289034634440143,0.0226225230219711,0.0230402069456978,0.886233294693865,0.912628254305872,0.914958424076024,-21.8500784657227,0.00493420396988595,-1.57546033014133e-05,-14.2856329110279,-0.0216058353125207,-1.16316318086764e-05,-5.60261462017855,0.035112873904986,-2.24389619304497e-06,11.4720939098405,0.0259209166150224,9.70766450965587e-06
"GASH",1,21,19,"No","Global_unavg",0.203094042950637,0.174116626213162,-0.00265623136038536,-1.34025881587967e-06,-1.58428304714838,0.0032115953502079,-1.20245657861826e-06,0.906967144879585,0.54783055142491,0.667785112450317,0.467216365167152,0.607157903000817,0.777991290098336,-3.15525160956481,-0.00995058387068532,-9.47378353194051e-06,-6.05510490458732,-0.00960770381237393,-9.97068787353236e-06,2.82852103487194,0.00781923192357827,3.0805964613391e-06,2.73609414276508,0.0159604934895215,8.14045514526885e-06
"GOOB",1,20,42,"No","Global_unavg",0.124160110517244,-3.93104235718182,0.00395056384925054,-2.4786985144455e-06,-0.049542577939257,0.00345761710196434,-2.53766667118444e-06,0.0136227613069716,0.244947034892272,0.134574817499322,0.981245824750448,0.462816139326782,0.301444432548312,-7.47275654913935,-0.00204792956282832,-6.23307900617212e-06,-4.15187006935608,-0.00601113826389035,-7.50705532691262e-06,-1.1464700358888,0.0114593999934465,3.70390900532144e-07,4.25678334011592,0.0127771830347121,2.34900945564488e-06
"GYDR",1,17,22,"No","Global_unavg",0.0675725332391313,-4.06023197302252,0.0044162345846716,-3.00891606447406e-06,-0.287013791794112,0.000802509678719709,-1.39267624467653e-07,0.022790103215578,0.26741822260114,0.142856897184447,0.905319372218103,0.879620352753402,0.958669061945441,-8.11400121096572,-0.00244207548425793,-7.83705005821217e-06,-5.03535634873435,-0.0101194930593633,-5.37276907079489e-06,-1.00266995800556,0.0134699365615924,3.96241258208588e-07,4.65763485120922,0.0111693818699416,5.52797680130715e-06
"HIAL",1,12,10,"No","Global_unavg",0.0913141087680965,-4.02669500000192,0.00346040154355909,-2.51064263177379e-06,1.11615708959741,-0.00126755006029388,-5.95068950252705e-07,0.0443764272187,0.438210944704147,0.271398150845475,0.708851577776997,0.864690209663028,0.892711162549723,-8.6910777759573,-0.00412227873569304,-8.03645469859328e-06,-5.29997179435968,-0.0153435066608141,-1.15066302975654e-05,-0.659120807105163,0.0138404374910734,1.20013814775275e-06,7.03463213537527,0.0155366016125605,7.23855716152802e-06
"HODI",1,17,10,"No","Global_unavg",0.172043555711588,-3.01412054152133,0.00370654859842791,-3.80706495016272e-06,1.65466939859013,NA,NA,0.0788387917624118,0.402159236672799,0.163498446053763,0.266414188297818,NA,NA,-6.92640423363691,-0.00368641256607831,-1.04156357737776e-05,-1.08524169700813,NA,NA,-0.087853013091817,0.0139302097050562,4.54505139007387e-07,4.8258779277843,NA,NA
"LIBO",1,48,67,"No","Global_unavg",0.209756416340407,-5.43148845887492,0.011679838732198,-7.58917012422039e-06,0.991199473669857,-0.000546020778434756,-1.61783386894865e-07,0.000597052395487123,0.0023996882895199,0.000667693640452467,0.633112825707867,0.915194043885627,0.957253263500965,-8.88366542255837,0.00492559361529825,-1.25540096823981e-05,-3.0313359101367,-0.0109331913675289,-6.06233751995151e-06,-2.63597778191246,0.0201059301871967,-3.75976610613817e-06,5.20933383775462,0.00942709309800689,5.9633027116435e-06
"MANE",1,61,57,"No","Global_unavg",0.260979668778169,-4.21683721109423,0.0119353328536406,-9.40210795547949e-06,0.0288192612818796,-0.000322771865092699,1.97350738018838e-07,0.00528476114015283,0.00415437649068443,0.000680159463073654,0.989345114241068,0.95672140770096,0.960209874730613,-7.47452486889836,0.00455688474647378,-1.55146414268249e-05,-4.26874512338625,-0.0120964542566983,-7.72549741755951e-06,-1.50012035792552,0.0209750058153813,-4.62438092319162e-06,4.29882040680833,0.0115356267406283,8.04954526383822e-06
"MEFE",1,26,12,"No","Global_unavg",0.0692406975871293,-4.18447779350181,0.0025503835974706,-8.64743145539416e-07,-11.8042585921206,0.0188889094250141,-7.50561392058948e-06,0.00344356197378113,0.322524194354055,0.413525968020671,0.0295752544379157,0.0335536432869285,0.0339834974952787,-7.29749189236027,-0.00218153832908409,-3.09835255792803e-06,-24.9514428620591,0.00411089375766065,-1.58231605272841e-05,-1.64042190066331,0.00800708934581073,1.08293956661566e-06,-3.01047644470843,0.0399346090808322,-1.57894040816626e-06
