"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"ACCI",1,72,58,"No","Unavg",0.245078272792767,-2.44080756975327,NA,NA,-0.314787127707714,NA,NA,NA,NA,NA,NA,NA,NA
"ACGL",1,15,14,"No","Unavg",0.0651197343902853,-4.00012116050012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACMI",1,10,20,"Yes","Unavg",0.115780254955134,-3.6687749680583,-11.9688011114786,NA,NA,NA,NA,2.53556418397721,0.030623053294015,8.89758464550753,33.2023087782733,NA,NA
"AMAL",1,42,42,"No","Unavg",0.112665295042939,-2.8397737367125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",1,42,29,"Yes","Unavg",0.0478129335562277,-2.25984542656996,-20.6737815125798,-7.45574709401339,NA,NA,NA,0.627547892176271,-0.375586792987602,8.04148253649254,21.1895766631502,NA,NA
"ATFI",1,24,30,"No","Unavg",0.0760275936950188,-1.56989020417546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",1,32,28,"No","Unavg",0.402262926207377,-28.2267834517012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",1,33,21,"Yes","Unavg",0.0557125747591133,-2.50127844892544,-12.1460923310054,-16.5570620471098,NA,NA,NA,0.677291537671208,-0.687220090417961,NA,NA,NA,NA
"CEVE",1,26,23,"Yes","Unavg",0.113350685787733,-2.88099529677339,-12.3341004612631,-23.9917726690354,NA,NA,NA,1.98119649017956,-0.65191079907292,NA,NA,NA,NA
"CHUM",1,61,49,"No","Unavg",0.160178323240899,-4.08896112934313,NA,NA,0.349191283370547,NA,NA,NA,NA,NA,NA,NA,NA
"CLUN",1,44,49,"No","Unavg",0.141198037047844,-7.45108564909827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COCA",1,20,23,"No","Unavg",0.104890458327942,-3.87008473513339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPAN",1,18,24,"Yes","Unavg",0.10289658630711,-3.03046416766277,-3.41461538223512,-9.9988250352344,NA,NA,NA,2.41364655830324,-0.324002142104467,NA,NA,NA,NA
"GAOV",1,11,9,"No","Unavg",0.0968564715655931,-12.4878317113256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",1,21,19,"No","Unavg",0.19908182601385,-0.958427501548522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOOB",1,20,42,"No","Unavg",0.122907005821748,-4.82146660954849,NA,NA,1.46377571184668,NA,NA,NA,NA,NA,NA,NA,NA
"GYDR",1,17,22,"No","Unavg",0.0643996890606674,-4.20298759914172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIAL",1,12,10,"No","Unavg",0.0791858412629304,-2.39105782583146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",1,17,10,"No","Unavg",0.172043555711588,-4.45840841677947,-66.8236241586892,-21.4935353761449,-2.31983662097714,-46.724082297136,NA,NA,NA,NA,NA,NA,NA
"LIBO",1,48,67,"No","Unavg",0.208610567120926,-5.10622924078705,NA,NA,0.466016658400402,NA,NA,NA,NA,NA,NA,NA,NA
"MANE",1,61,57,"No","Unavg",0.26070772233549,-4.20317746867558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",1,26,12,"No","Unavg",0.0692406975871293,-4.18447779350181,NA,NA,-11.8042585921206,NA,NA,NA,NA,NA,NA,NA,NA
"OPHO",1,29,16,"No","Unavg",0.127616014971993,-0.476694350705145,NA,NA,-6.5354572401423,NA,NA,NA,NA,NA,NA,NA,NA
"PAMY",1,127,101,"Yes","Unavg",0.0436427412425129,-0.696207211625927,-9.42582995171182,-10.8775411614702,NA,NA,NA,0.441142346297455,-0.433216914513472,NA,NA,NA,NA
"POMU",1,20,10,"No","Unavg",0.187712709140509,0.208155626354059,NA,NA,-0.77096299421109,NA,NA,NA,NA,NA,NA,NA,NA
"PTAQ",1,47,22,"No","Unavg",0.100794240522819,-2.78505335598605,NA,NA,-0.861572030418159,NA,NA,NA,NA,NA,NA,NA,NA
"RULA",1,18,13,"No","Unavg",0.182566025397129,-23.5942493484786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUPA",1,33,21,"No","Unavg",0.109048760432662,-5.54645348465015,NA,NA,-0.502292097840973,NA,NA,NA,NA,NA,NA,NA,NA
"RUPE",1,23,23,"No","Unavg",0.0447788017229829,-7.34023528925485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",1,15,20,"No","Unavg",0.0551467476926121,-2.14667543917683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOSI",1,48,19,"No","Unavg",0.161120439792812,-10.977257258244,NA,NA,-1.08139331486919,NA,NA,NA,NA,NA,NA,NA,NA
"SPBE",1,17,29,"No","Unavg",0.107596224462957,-3.6148902337008,NA,NA,0.594568066932782,NA,NA,NA,NA,NA,NA,NA,NA
"TITR",1,34,39,"No","Unavg",0.0413499170270484,-1.52438432846199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
