"Elevation.m","Elevation.m2","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Species","Effect"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ACCI","+"
"NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","100","71","NULL","ACCI","-"
"NULL","NULL","100","100","100","100","100","100","NULL","29","100","ACCI","0"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","8","NULL","ACGL","+"
"NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","98","7","8","ACGL","-"
"NULL","NULL","100","100","100","100","100","100","NULL","85","92","ACGL","0"
"74","NULL","100","1","82","99","91","72","NULL","NULL","NULL","ACMI","+"
"26","95","NULL","99","17","NULL","NULL","19","NULL","NULL","NULL","ACMI","-"
"NULL","5","NULL","NULL","1","1","9","9","100","100","100","ACMI","0"
"100","NULL","1","NULL","NULL","1","NULL","NULL","44","NULL","NULL","AMAL","+"
"NULL","100","NULL","1","1","NULL","NULL","NULL","17","NULL","NULL","AMAL","-"
"NULL","NULL","99","99","99","99","100","100","39","100","100","AMAL","0"
"100","NULL","95","NULL","98","98","98","98","NULL","2","2","ARUV","+"
"NULL","100","3","98","NULL","NULL","NULL","NULL","2","NULL","NULL","ARUV","-"
"NULL","NULL","2","2","2","2","2","2","98","98","98","ARUV","0"
"92","NULL","NULL","NULL","NULL","NULL","NULL","NULL","100","NULL","NULL","ATFI","+"
"8","100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ATFI","-"
"NULL","NULL","100","100","100","100","100","100","NULL","100","100","ATFI","0"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","15","NULL","NULL","CAME","+"
"NULL","89","NULL","NULL","NULL","NULL","NULL","NULL","85","3","NULL","CAME","-"
"NULL","11","100","100","100","100","100","100","NULL","97","100","CAME","0"
"100","NULL","62","NULL","30","36","33","12","NULL","21","NULL","CARU","+"
"NULL","100","17","79","7","1","NULL","21","21","NULL","7","CARU","-"
"NULL","NULL","21","21","63","63","67","67","79","79","93","CARU","0"
"100","NULL","99","NULL","65","65","45","46","NULL","NULL","NULL","CEVE","+"
"NULL","100","1","100","NULL","NULL","4","3","NULL","NULL","NULL","CEVE","-"
"NULL","NULL","NULL","NULL","35","35","51","51","100","100","100","CEVE","0"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","55","43","NULL","CHUM","+"
"NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","45","52","75","CHUM","-"
"NULL","NULL","100","100","100","100","100","100","NULL","5","25","CHUM","0"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","100","NULL","NULL","CLUN","+"
"NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","36","NULL","CLUN","-"
