"Elevation.m","Elevation.m2","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Species","Fire.Included","Effect"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ACCI","No","+"
"100","100","NULL","NULL","NULL","NULL","NULL","NULL","47","NULL","NULL","ACCI","No","-"
"NULL","NULL","100","100","100","100","100","100","53","100","100","ACCI","No","0"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ACGL","No","+"
"100","100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ACGL","No","-"
"NULL","NULL","100","100","100","100","100","100","100","100","100","ACGL","No","0"
"NULL","NULL","100","36","87","89","2","NULL","NULL","NULL","NULL","ACMI","Yes","+"
"89","26","NULL","64","2","NULL","NULL","2","NULL","NULL","NULL","ACMI","Yes","-"
"11","74","NULL","NULL","11","11","98","98","100","100","100","ACMI","Yes","0"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AMAL","No","+"
"100","100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AMAL","No","-"
"NULL","NULL","100","100","100","100","100","100","100","100","100","AMAL","No","0"
"NULL","NULL","100","NULL","92","92","NULL","NULL","NULL","NULL","NULL","ARUV","Yes","+"
"100","100","NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ARUV","Yes","-"
"NULL","NULL","NULL","NULL","8","8","100","100","100","100","100","ARUV","Yes","0"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ATFI","No","+"
"100","94","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ATFI","No","-"
"NULL","6","100","100","100","100","100","100","100","100","100","ATFI","No","0"
"74","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CAME","No","+"
"NULL","74","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CAME","No","-"
"26","26","100","100","100","100","100","100","100","100","100","CAME","No","0"
"NULL","NULL","99","NULL","4","4","4","NULL","NULL","NULL","NULL","CARU","Yes","+"
"100","100","NULL","99","NULL","NULL","NULL","4","NULL","NULL","NULL","CARU","Yes","-"
"NULL","NULL","1","1","96","96","96","96","100","100","100","CARU","Yes","0"
"NULL","NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CEVE","Yes","+"
"100","100","NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CEVE","Yes","-"
"NULL","NULL","NULL","NULL","100","100","100","100","100","100","100","CEVE","Yes","0"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CHUM","No","+"
"100","100","NULL","NULL","NULL","NULL","NULL","NULL","52","44","7","CHUM","No","-"
"NULL","NULL","100","100","100","100","100","100","48","56","93","CHUM","No","0"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","CLUN","No","+"
"100","100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CLUN","No","-"
"NULL","NULL","100","100","100","100","100","100","99","100","100","CLUN","No","0"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","COCA","No","+"
"100","100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","COCA","No","-"
"NULL","NULL","100","100","100","100","100","100","100","100","100","COCA","No","0"
"6","NULL","100","19","NULL","23","NULL","8","NULL","NULL","NULL","EPAN","Yes","+"
"93","99","NULL","81","24","1","8","NULL","NULL","NULL","NULL","EPAN","Yes","-"
"1","1","NULL","NULL","76","76","92","92","100","100","100","EPAN","Yes","0"
"1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","GAOV","No","+"
"98","99","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","GAOV","No","-"
"1","1","100","100","100","100","100","100","99","100","100","GAOV","No","0"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","GASH","No","+"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","GASH","No","-"
"NULL","100","100","100","100","100","100","100","100","100","100","GASH","No","0"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","90","NULL","NULL","GOOB","No","+"
"100","100","NULL","NULL","NULL","NULL","NULL","NULL","10","14","10","GOOB","No","-"
"NULL","NULL","100","100","100","100","100","100","NULL","86","90","GOOB","No","0"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11","NULL","NULL","GYDR","No","+"
"100","100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","GYDR","No","-"
"NULL","NULL","100","100","100","100","100","100","89","100","100","GYDR","No","0"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","HIAL","No","+"
"99","19","NULL","NULL","NULL","NULL","NULL","NULL","3","NULL","NULL","HIAL","No","-"
"1","81","100","100","100","100","100","100","97","100","100","HIAL","No","0"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","HODI","No","+"
"100","96","NULL","NULL","NULL","NULL","NULL","NULL","58","26","NULL","HODI","No","-"
"NULL","4","100","100","100","100","100","100","42","74","100","HODI","No","0"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","99","NULL","NULL","LIBO","No","+"
"100","100","NULL","NULL","NULL","NULL","NULL","NULL","1","1","NULL","LIBO","No","-"
"NULL","NULL","100","100","100","100","100","100","NULL","99","100","LIBO","No","0"
