"","species","min.raw.leg","min.raw.res","max.raw.leg","max.raw.res","med.leg","med.res","min.025.leg","min.025.res","max.975.leg","max.975.res","Species","rear.change.raw","rear.change.perc","med.change","lead.change.raw","lead.change.perc"
"1","V1",162,162,1282,1282,682.5,710.925,293.375,276.646,1154.35,1089.4915,"ACCI",0,-16.729,28.425,0,-64.8585000000003
"2","V2",347,442.76,1439,1163.93,838,788.045,376.05,464.222,1419.05,1122.7405,"ACGL",95.76,88.172,-49.955,-275.07,-296.3095
"3","V3",383,343.16,1382,1413,721,732.415,408.55,355.6185,1348.425,1369.09525,"AMAL",-39.84,-52.9315,11.415,31,20.6702499999999
"4","V4",274,263.92,1428,1385.9,723.5,802.465,277.45,277.026,1395.8,1293.94925,"ATFI",-10.08,-0.423999999999978,78.965,-42.0999999999999,-101.85075
"5","V5",1409,1221.43,2069,2063.25,1840,1741.065,1458.6,1463.72375,2055.825,2039.74525,"CAME",-187.57,5.1237500000002,-98.9349999999999,-5.75,-16.0797499999999
"6","V6",442,329,1601,1305.27,782,721.555,508.5,397.16925,1548.5,1176.336,"CHUM",-113,-111.33075,-60.4450000000001,-295.73,-372.164
"7","V7",378,377.44,1483,1371.08,860.5,830.645,543.75,457.0385,1409.925,1320.33125,"CLUN",-0.560000000000002,-86.7115,-29.855,-111.92,-89.59375
"8","V8",162,378,1195,1237.45,696,695.945,218.05,397.265,1192.15,1217.208,"COCA",216,179.215,-0.05499999999995,42.45,25.058
"9","V9",592,689.45,1489,1472.23,1039,1060.36,620.5,723.6285,1470,1447.8115,"GAOV",97.45,103.1285,21.3599999999999,-16.77,-22.1885
"10","V10",162,314.12,1037,1144.88,592,594.24,236.5,334.2745,992.5,1092.2875,"GASH",152.12,97.7745,2.24000000000001,107.88,99.7874999999999
"11","V11",408,303.7,1569,1559.7,834.5,795.84,458.35,431.87225,1560.45,1433.2215,"GOOB",-104.3,-26.47775,-38.66,-9.29999999999995,-127.2285
"12","V12",280,274,1394,1690.32,828,859.84,319.2,344.794,1314.4,1495.6145,"GYDR",-6,25.594,31.84,296.32,181.214499999999
"13","V13",374,410.28,1340,1332.93,769,595.53,412.5,428.54025,1319.1,1286.38375,"HIAL",36.28,16.04025,-173.47,-7.06999999999994,-32.7162499999999
"14","V14",335,314.72,1382,829.06,641,581.14,373,338.2035,1204.4,797.863,"HODI",-20.28,-34.7965,-59.86,-552.94,-406.537
"15","V15",396,378,1282,1209.12,768,721.25,440.3,390.3495,1179.9,1141.44325,"LIBO",-18,-49.9505,-46.75,-72.8800000000001,-38.4567499999998
"16","V16",311,299.36,1191,1064,651,644.695,402,349.665,1039.5,1025.07975,"MANE",-11.64,-52.335,-6.30499999999995,-127,-14.4202500000001
"17","V17",299,487.26,2032,1657,1163.5,1252.91,517.125,554.99275,1948.875,1618.55075,"MEFE",188.26,37.86775,89.4100000000001,-375,-330.32425
"18","V18",162,394.42,1394,1219,679,821.045,240.4,447.787,1233,1205.932,"OPHO",232.42,207.387,142.045,-175,-27.0680000000002
"19","V19",162,277.65,1264,1039.1,619.5,592.135,215.2,292.54575,1124.825,995.717,"POMU",115.65,77.34575,-27.365,-224.9,-129.107999999999
"20","V20",311,356.37,1439,1530.64,761,834.755,338.3,388.035,1392.2,1488.5675,"PTAQ",45.37,49.735,73.755,91.6400000000001,96.3675000000001
"21","V21",965,1119.38,1728,1846.71,1471.5,1371.15,1047.45,1137.55175,1713.55,1806.76725,"RULA",154.38,90.10175,-100.35,118.71,93.2172499999999
"22","V22",357,163.95,1439,1399.69,784,846.075,541.8,258.64025,1348.6,1360.10475,"RUPA",-193.05,-283.15975,62.075,-39.3099999999999,11.5047499999996
"23","V23",280,280,1889,1666.79,1350,1158.43,482.4,332.626,1781.75,1597.69125,"RUPE",0,-149.774,-191.57,-222.21,-184.05875
"24","V24",274,162,1338,1388.56,786,859.035,276.1,218.644,1275.35,1354.2085,"RUSP",-112,-57.456,73.035,50.5599999999999,78.8584999999998
"25","V25",605,765.74,1882,1872,1482,1526.635,624.85,908.20675,1869.025,1858.3675,"SOSI",160.74,283.35675,44.635,-10,-10.6575
"26","V26",408,347,1267,1315,685,683.69,416.8,374.17625,1247,1290.63775,"SPBE",-61,-42.62375,-1.30999999999995,48,43.6377500000001
"27","V27",162,274,1603,1646.68,846.5,856.365,254.4,279.95875,1532.875,1579.46,"TITR",112,25.55875,9.86500000000001,43.6800000000001,46.5850000000003
"28","V28",396,299,1189,1049.56,673.5,594.225,420.075,378.66975,1142.2,991.775,"TRBO",-97,-41.40525,-79.275,-139.44,-150.425
"29","V29",827,533.37,2032,1907.82,1698.5,1622.17,1034,798.2635,1967.6,1889.34725,"VASI",-293.63,-235.7365,-76.3299999999999,-124.18,-78.2527500000001
"30","V1",403,391,1382,2049.76,1033,1337.92,415.15,430.26525,1359.5,1995.267,"ACMI",-12,15.1152499999999,304.92,667.76,635.767
