Year,Order entered,PlotID,Replicate,Species,PercentCover,Notes,RLB Notes,EHL Notes
2014,1,COUG-001,ALL,ACHTRI-Achlys triphylla,present,achlys triphylla,,
2014,2,COUG-001,ALL,LISCOR-Listera cordata,present,Listera cordata,,
2014,3,COUG-001,ALL,SAXIFR-Saxifragaceae spp,present,Unknown Saifrage species maybe Hachera or Mitella,,
2014,4,COUG-001,ALL,XERTEN-Xerophyllum tenax,present,xerophyllum tenax,,
2014,5,COUG-001,QE,CHIUMB-Chimaphila umbellata,2,chimaphila unbellata,,
2014,6,COUG-001,QE,CLIUNI-Clintonia uniflora,2,clintonia uniflora,,
2014,7,COUG-001,QE,CORUNA-Cornus unalaschkensis,3,cornus canadensis,,
2014,8,COUG-001,QE,LINBOR-Linnaea borealis,2,linnaea borealis,,
2014,9,COUG-001,QE,VACALA-Vaccinium alaskaense,12,vaccinium alaskaense,,
2014,10,COUG-001,QN,ABIAMA-Abies amabilis,2,Abies amabilis,,
2014,11,COUG-001,QN,CHIUMB-Chimaphila umbellata,1,chimaphila unbellata,,
2014,12,COUG-001,QN,LINBOR-Linnaea borealis,7,linnaea borealis,,
2014,13,COUG-001,QN,MOSS-Moss spp,5,,,
2014,14,COUG-001,QN,VACALA-Vaccinium alaskaense,12,vaccinium alaskaense,,
2014,15,COUG-001,QN,VACALA-Vaccinium alaskaense,2,vaccinium ovalifolium,merged VACOVA with VACALA,
2014,16,COUG-001,QS,CHIUMB-Chimaphila umbellata,7,chimaphila unbellata,,
2014,17,COUG-001,QS,CORUNA-Cornus unalaschkensis,1,cornus canadensis,,
2014,18,COUG-001,QS,LINBOR-Linnaea borealis,4,linnaea borealis,,
2014,19,COUG-001,QS,MOSS-Moss spp,25,,,
2014,20,COUG-001,QS,VACALA-Vaccinium alaskaense,2,vaccinium ovalifolium,merged VACOVA with VACALA,
2014,21,COUG-001,QS,VACPAR-Vaccinium parvifolium,4,vaccinium parvifolium,merged VACOVA with VACALA,
2014,22,COUG-001,QS,VACSCO-Vaccinium scoparium,2,valeriana sitchensis,changed to VACSCO because code was VASC and type was shrub,
2014,23,COUG-001,QW,CHIUMB-Chimaphila umbellata,5,chimaphila unbellata,,
